sector,india_emission_intensity_tCO2_per_tonne,eu_benchmark_intensity_tCO2_per_tonne,ets_price_eur_per_tCO2,cbam_cost_per_tonne_eur,cbam_cost_per_tonne_inr,typical_export_price_per_tonne_eur,typical_pre_cbam_margin_pct,notes
steel,2.5,1.28,66.5,173.8,15394,1080,12,ICRA: $65–160/t margin erosion; FEPS: €173.8/t CBAM cost
aluminium,21.5,7,66.5,1500,133000,2700,10,Aluminium CBAM $1500–1600/t; ~80% emissions from coal power
